MH 114
 1.00000  0.00000
 0.99609  0.00087
 0.98463  0.00332
 0.96600  0.00721
 0.94073  0.01236
 0.90952  0.01859
 0.87316  0.02566
 0.83254  0.03333
 0.78862  0.04133
 0.74241  0.04941
 0.69496  0.05727
 0.64730  0.06458
 0.60046  0.07101
 0.55541  0.07628
 0.51306  0.08011
 0.47421  0.08230
 0.43955  0.08272
 0.40957  0.08145
 0.38455  0.07869
 0.36449  0.07473
 0.34916  0.06985
 0.33809  0.06430
 0.33062  0.05837
 0.32586  0.05224
 0.32276  0.04599
 0.32010  0.03956
 0.31641  0.03280
 0.30944  0.02543
 0.29670  0.01720
 0.27638  0.00849
 0.24870  0.00038
 0.21529 -0.00608
 0.17891 -0.00992
 0.14268 -0.01119
 0.10959 -0.01039
 0.08154 -0.00821
 0.05890 -0.00536
 0.04123 -0.00266
 0.02765 -0.00066
 0.01723  0.00045
 0.00930  0.00080
 0.00378  0.00065
 0.00063  0.00012
 0.00000  0.00000
 0.00218  0.00235
 0.00835  0.00647
 0.01940  0.01168
 0.03564  0.01761
 0.05713  0.02399
 0.08382  0.03053
 0.11559  0.03700
 0.15222  0.04308
 0.19339  0.04856
 0.23871  0.05315
 0.28777  0.05660
 0.34012  0.05880
 0.39519  0.05972
 0.45231  0.05937
 0.51071  0.05778
 0.56947  0.05505
 0.62763  0.05128
 0.68415  0.04660
 0.73793  0.04115
 0.78790  0.03514
 0.83296  0.02876
 0.87210  0.02231
 0.90537  0.01614
 0.93300  0.01063
 0.95535  0.00617
 0.97286  0.00303
 0.98604  0.00115
 0.99464  0.00025
 1.00000  0.00000
