NACA 2412
 1.00000  0.00130
 0.99572  0.00186
 0.98296  0.00360
 0.96194  0.00660
 0.93301  0.01085
 0.89668  0.01618
 0.85355  0.02232
 0.80438  0.02886
 0.75000  0.03540
 0.69134  0.04148
 0.62941  0.04672
 0.56526  0.05084
 0.50000  0.05368
 0.43474  0.05514
 0.37059  0.05516
 0.30866  0.05374
 0.25000  0.05098
 0.19562  0.04698
 0.14645  0.04190
 0.10332  0.03592
 0.06699  0.02924
 0.03806  0.02208
 0.01704  0.01468
 0.00428  0.00720
 0.00000  0.00000
 0.00428 -0.00568
 0.01704 -0.00916
 0.03806 -0.01142
 0.06699 -0.01290
 0.10332 -0.01378
 0.14645 -0.01410
 0.19562 -0.01392
 0.25000 -0.01330
 0.30866 -0.01230
 0.37059 -0.01098
 0.43474 -0.00942
 0.50000 -0.00768
 0.56526 -0.00586
 0.62941 -0.00406
 0.69134 -0.00240
 0.75000 -0.00100
 0.80438  0.00006
 0.85355  0.00070
 0.89668  0.00094
 0.93301  0.00084
 0.96194  0.00054
 0.98296  0.00022
 0.99572  0.00004
 1.00000  0.00000
